SCHOOLID,MATHACH,SES,PICK1,SCHSIZE,SCHNUM,SMEANMATH,SMATHDEV,MEANMATH,SMEANSES,SSESDEV,MEANSES,FIXEDFITS,SMATHDEV2,SSESDEV2,SMEANMATH2,SMEANSES2,_est_fixed,_est_random,UJFE,UJFE_FE,UJRE_MLE,RSHRINK,UJRE_EB2,UJRE_EB,UJRATIO,STDRES_EB,COMP_SE,DIAG_SE,STDRES_RE
1224,5.876,-1.528,1,47,1,9.715446,8.908405,12.74785,-0.434383,-1.093474,0.0001434,7.319144,13.66551,-1.306167,11.26305,-0.2126197,1,1,-2.080284,-2.080284,-1.90335,0.8571765,-1.631507,-1.631507,0.7842715,-0.8103848,0.821792,2.01325,-0.2458263
1224,19.708,-0.588,0,47,1,9.715446,22.74041,12.74785,-0.434383,-0.1534737,0.0001434,9.378845,27.49751,-0.3661666,11.26305,-0.2126197,1,1,-2.080284,-2.080284,-1.90335,0.8571765,-1.631507,-1.631507,0.7842715,-0.8103848,0.821792,2.01325,1.657804
1224,20.349,-0.528,0,47,1,9.715446,23.38141,12.74785,-0.434383,-0.0934737,0.0001434,9.510316,28.13851,-0.3061666,11.26305,-0.2126197,1,1,-2.080284,-2.080284,-1.90335,0.8571765,-1.631507,-1.631507,0.7842715,-0.8103848,0.821792,2.01325,1.739561
1224,8.781,-0.668,0,47,1,9.715446,11.81341,12.74785,-0.434383,-0.2334737,0.0001434,9.203552,16.57051,-0.4461665,11.26305,-0.2126197,1,1,-2.080284,-2.080284,-1.90335,0.8571765,-1.631507,-1.631507,0.7842715,-0.8103848,0.821792,2.01325,-0.106421
1224,17.898,-0.158,0,47,1,9.715446,20.93041,12.74785,-0.434383,0.2765263,0.0001434,10.32105,25.68751,0.0638334,11.26305,-0.2126197,1,1,-2.080284,-2.080284,-1.90335,0.8571765,-1.631507,-1.631507,0.7842715,-0.8103848,0.821792,2.01325,1.191371
1224,4.583,0.022,0,47,1,9.715446,7.615406,12.74785,-0.434383,0.4565263,0.0001434,10.71546,12.37251,0.2438334,11.26305,-0.2126197,1,1,-2.080284,-2.080284,-1.90335,0.8571765,-1.631507,-1.631507,0.7842715,-0.8103848,0.821792,2.01325,-1.067462
1224,-2.832,-0.618,0,47,1,9.715446,0.2004061,12.74785,-0.434383,-0.1834736,0.0001434,9.31311,4.957513,-0.3961665,11.26305,-0.2126197,1,1,-2.080284,-2.080284,-1.90335,0.8571765,-1.631507,-1.631507,0.7842715,-0.8103848,0.821792,2.01325,-2.034468
1224,0.523,-0.998,0,47,1,9.715446,3.555406,12.74785,-0.434383,-0.5634737,0.0001434,8.480465,8.312513,-0.7761666,11.26305,-0.2126197,1,1,-2.080284,-2.080284,-1.90335,0.8571765,-1.631507,-1.631507,0.7842715,-0.8103848,0.821792,2.01325,-1.333791
1224,1.527,-0.888,0,47,1,9.715446,4.559406,12.74785,-0.434383,-0.4534737,0.0001434,8.721494,9.316513,-0.6661666,11.26305,-0.2126197,1,1,-2.080284,-2.080284,-1.90335,0.8571765,-1.631507,-1.631507,0.7842715,-0.8103848,0.821792,2.01325,-1.212031
1224,21.521,-0.458,0,47,1,9.715446,24.55341,12.74785,-0.434383,-0.0234737,0.0001434,9.663698,29.31051,-0.2361666,11.26305,-0.2126197,1,1,-2.080284,-2.080284,-1.90335,0.8571765,-1.631507,-1.631507,0.7842715,-0.8103848,0.821792,2.01325,1.904649
1224,9.475,-1.448,0,47,1,9.715446,12.50741,12.74785,-0.434383,-1.013474,0.0001434,7.494438,17.26451,-1.226166,11.26305,-0.2126197,1,1,-2.080284,-2.080284,-1.90335,0.8571765,-1.631507,-1.631507,0.7842715,-0.8103848,0.821792,2.01325,0.3141675
1224,16.057,-0.658,0,47,1,9.715446,19.08941,12.74785,-0.434383,-0.2234737,0.0001434,9.225464,23.84651,-0.4361666,11.26305,-0.2126197,1,1,-2.080284,-2.080284,-1.90335,0.8571765,-1.631507,-1.631507,0.7842715,-0.8103848,0.821792,2.01325,1.085335
1224,21.178,-0.468,0,47,1,9.715446,24.21041,12.74785,-0.434383,-0.0334737,0.0001434,9.641787,28.96751,-0.2461666,11.26305,-0.2126197,1,1,-2.080284,-2.080284,-1.90335,0.8571765,-1.631507,-1.631507,0.7842715,-0.8103848,0.821792,2.01325,1.852213
1224,20.178,-0.988,0,47,1,9.715446,23.21041,12.74785,-0.434383,-0.5534737,0.0001434,8.502377,27.96751,-0.7661666,11.26305,-0.2126197,1,1,-2.080284,-2.080284,-1.90335,0.8571765,-1.631507,-1.631507,0.7842715,-0.8103848,0.821792,2.01325,1.892241
1224,20.349,0.332,0,47,1,9.715446,23.38141,12.74785,-0.434383,0.7665263,0.0001434,11.39472,28.13851,0.5538334,11.26305,-0.2126197,1,1,-2.080284,-2.080284,-1.90335,0.8571765,-1.631507,-1.631507,0.7842715,-0.8103848,0.821792,2.01325,1.40158
1224,20.508,-0.678,0,47,1,9.715446,23.54041,12.74785,-0.434383,-0.2434736,0.0001434,9.18164,28.29751,-0.4561665,11.26305,-0.2126197,1,1,-2.080284,-2.080284,-1.90335,0.8571765,-1.631507,-1.631507,0.7842715,-0.8103848,0.821792,2.01325,1.82464
1224,19.338,-0.298,0,47,1,9.715446,22.37041,12.74785,-0.434383,0.1365263,0.0001434,10.01429,27.12751,-0.0761666,11.26305,-0.2126197,1,1,-2.080284,-2.080284,-1.90335,0.8571765,-1.631507,-1.631507,0.7842715,-0.8103848,0.821792,2.01325,1.48303
